CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Mumbai,12442373,0,1,1,1,0,Dec 18 2016,Vivanta by Taj,12375,5,21,"90 Cuffe Parade, Colaba, Mumbai, Maharashtra",400005,"Luxury hotel with spa, near Gateway of India",1,0,287,1
Mumbai,12442373,0,1,1,0,0,Dec 21 2016,Vivanta by Taj,10250,5,21,"91 Cuffe Parade, Colaba, Mumbai, Maharashtra",400006,"Luxury hotel with spa, near Gateway of India",1,0,287,1
Mumbai,12442373,0,1,1,1,0,Dec 24 2016,Vivanta by Taj,9900,5,21,"92 Cuffe Parade, Colaba, Mumbai, Maharashtra",400007,"Luxury hotel with spa, near Gateway of India",1,0,287,1
Mumbai,12442373,0,1,1,1,0,Dec 25 2016,Vivanta by Taj,10350,5,21,"93 Cuffe Parade, Colaba, Mumbai, Maharashtra",400008,"Luxury hotel with spa, near Gateway of India",1,0,287,1
Mumbai,12442373,0,1,1,0,0,Dec 28 2016,Vivanta by Taj,12000,5,21,"94 Cuffe Parade, Colaba, Mumbai, Maharashtra",400009,"Luxury hotel with spa, near Gateway of India",1,0,287,1
Mumbai,12442373,0,1,1,1,1,Dec 31 2016,Vivanta by Taj,11475,5,21,"95 Cuffe Parade, Colaba, Mumbai, Maharashtra",400010,"Luxury hotel with spa, near Gateway of India",1,0,287,1
Mumbai,12442373,0,1,1,0,0,Jan 04 2017,Vivanta by Taj,11220,5,21,"96 Cuffe Parade, Colaba, Mumbai, Maharashtra",400011,"Luxury hotel with spa, near Gateway of India",1,0,287,1
Mumbai,12442373,0,1,1,1,0,Jan 08 2017,Vivanta by Taj,9225,5,21,"97 Cuffe Parade, Colaba, Mumbai, Maharashtra",400012,"Luxury hotel with spa, near Gateway of India",1,0,287,1
Mumbai,12442373,0,1,1,1,0,Dec 18 2016,The Gordon House Hotel,6800,4,20,"5 Battery, Apollo Bunder, Colaba, Mumbai, Maharashtra",400039,"Luxury hotel with 2 restaurants, near Gateway of India",1,1,28,0
Mumbai,12442373,0,1,1,0,0,Dec 21 2016,The Gordon House Hotel,9350,4,20,"6 Battery, Apollo Bunder, Colaba, Mumbai, Maharashtra",400040,"Luxury hotel with 2 restaurants, near Gateway of India",1,1,28,0
Mumbai,12442373,0,1,1,1,0,Dec 24 2016,The Gordon House Hotel,9999,4,20,"7 Battery, Apollo Bunder, Colaba, Mumbai, Maharashtra",400041,"Luxury hotel with 2 restaurants, near Gateway of India",1,1,28,0
